id,eixo,objetivo,foco_estrategico,acao,responsavel,prazo_categoria,prazo_qualificador,data_limite,indicador,meta,recursos,status,percentual_execucao,data_atualizacao,evidencia,observacoes,campus
AGU-13,Águas e Efluentes,,,Analisar banco de dados periodicamente para verificar situação do sistema hidrossanitário com intuito de propor melhorias.,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo,periódico,,Relatórios produzidos com orientações para as equipes de manutenção,,,Não iniciada,0,,,PDF p.60,Todos
AGU-14,Águas e Efluentes,,,Avaliar periodicamente a eficiência da manutenção no que tange a desperdícios e vazamentos de água.,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo,periódico,,Relatórios produzidos com orientações para as equipes de manutenção,,,Não iniciada,0,,,PDF p.60,Todos
AGU-15,Águas e Efluentes,,,Priorizar a manutenção preventiva e reduzir o tempo de solução da corretiva.,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo,periódico,,Redução de solicitações de ações corretivas. Número de ocorrências de ações de manutenção preventiva,,,Não iniciada,0,,,PDF p.60,Todos
AGU-16,Águas e Efluentes,,,Realizar manutenções periódicas de todos os sistemas de abastecimento de água. As medidas devem garantir a qualidade de água (potável ou não) e minimizar quaisquer tipos de perdas.,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo,periódico,,100% dos sistemas de abastecimento de água com registros de manutenções periódicas,,,Não iniciada,0,,,PDF p.61,Todos
AGU-17,Águas e Efluentes,,,Adquirir as ferramentas para detecção de vazamentos não visíveis e manter estoque mínimo de materiais (tubos e conexões) para reduzir o tempo de execução dos serviços de manutenção.,"DINFRA, DIRAD e DIRPLAN",Curtíssimo a Curto,,,Ferramentas adquiridas. Relatórios de controle de estoque,,,Não iniciada,0,,,PDF p.61,Todos
AGU-18,Águas e Efluentes,,,"Dar preferência ao uso de equipamentos hidráulicos mais eficientes. Entretanto, levar em consideração o fator custo x benefício.","DINFRA, DIRAD e DIRPLAN",Curtíssimo,periódico,,Relatórios sobre troca dos equipamentos hidráulicos,,,Não iniciada,0,,,PDF p.61,Todos
AGU-19,Águas e Efluentes,,,Sinalizar os ambientes e instalações com maior demanda de água sobre o uso mais sustentável do recurso.,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo,periódico,,Campanhas sobre uso da água em !00% dos ambientes com instalações hidráulicas,,,Não iniciada,0,,,PDF p.61,Todos
AGU-20,Águas e Efluentes,,,"Desenvolver ECOTIMES com servidores(as) com expertise no tema e demais pessoas interessadas. Os ECOTIMES serão nomeados por portaria oficial da instituição e as atividades serão desenvolvidas durante a jornada de trabalho dos participantes, fazendo parte do escopo de trabalho dos membros","ASSUS, CPS, DINFRA, Grupos de Pesquisa",Curto,contínuo,,Publicação de portarias nomeando os ECOTIMEs. Relatórios das atividades dos ECOTIMEs.,,,Não iniciada,0,,,PDF p.61,Todos
AGU-21,Águas e Efluentes,,,Prover capacitações a comunidade acadêmica e corpo técnico da UFSB com objetivo de sensibilizar para o uso sustentável da água,"ASSUS, CPS e PROGEPE",Curto,periódico,,Número de capacitações realizadas. Público alcançado,,,Não iniciada,0,,,PDF p.62,Todos
AGU-22,Águas e Efluentes,,,Prover treinamentos aos colaboradores que atuam na manutenção predial e limpeza da UFSB,ASSUS e CPS,Curto,periódico,,Número de capacitações realizadas. Público alcançado,,,Não iniciada,0,,,PDF p.62,Todos
